Role,Action
Global Administrator,microsoft.directory/accessReviews/allProperties/allTasks
Global Administrator,microsoft.directory/accessReviews/definitions/allProperties/allTasks
Global Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks
Global Administrator,microsoft.directory/administrativeUnits/allProperties/allTasks
Global Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read
Global Administrator,microsoft.directory/applications/allProperties/allTasks
Global Administrator,microsoft.directory/applications/synchronization/standard/read
Global Administrator,microsoft.directory/applicationTemplates/instantiate
Global Administrator,microsoft.directory/auditLogs/allProperties/read
Global Administrator,microsoft.directory/users/authenticationMethods/create
Global Administrator,microsoft.directory/users/authenticationMethods/delete
Global Administrator,microsoft.directory/users/authenticationMethods/standard/read
Global Administrator,microsoft.directory/users/authenticationMethods/basic/update
Global Administrator,microsoft.directory/authorizationPolicy/allProperties/allTasks
Global Administrator,microsoft.directory/bitlockerKeys/key/read
Global Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks
Global Administrator,microsoft.directory/connectors/create
Global Administrator,microsoft.directory/connectors/allProperties/read
Global Administrator,microsoft.directory/connectorGroups/create
Global Administrator,microsoft.directory/connectorGroups/delete
Global Administrator,microsoft.directory/connectorGroups/allProperties/read
Global Administrator,microsoft.directory/connectorGroups/allProperties/update
Global Administrator,microsoft.directory/contacts/allProperties/allTasks
Global Administrator,microsoft.directory/contracts/allProperties/allTasks
Global Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks
Global Administrator,microsoft.directory/deletedItems/delete
Global Administrator,microsoft.directory/deletedItems/restore
Global Administrator,microsoft.directory/devices/allProperties/allTasks
Global Administrator,microsoft.directory/namedLocations/create
Global Administrator,microsoft.directory/namedLocations/delete
Global Administrator,microsoft.directory/namedLocations/standard/read
Global Administrator,microsoft.directory/namedLocations/basic/update
Global Administrator,microsoft.directory/deviceManagementPolicies/standard/read
Global Administrator,microsoft.directory/deviceManagementPolicies/basic/update
Global Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read
Global Administrator,microsoft.directory/deviceRegistrationPolicy/basic/update
Global Administrator,microsoft.directory/directoryRoles/allProperties/allTasks
Global Administrator,microsoft.directory/directoryRoleTemplates/allProperties/allTasks
Global Administrator,microsoft.directory/domains/allProperties/allTasks
Global Administrator,microsoft.directory/domains/federationConfiguration/standard/read
Global Administrator,microsoft.directory/domains/federationConfiguration/basic/update
Global Administrator,microsoft.directory/domains/federationConfiguration/create
Global Administrator,microsoft.directory/domains/federationConfiguration/delete
Global Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks
Global Administrator,microsoft.directory/groups/allProperties/allTasks
Global Administrator,microsoft.directory/groupsAssignableToRoles/create
Global Administrator,microsoft.directory/groupsAssignableToRoles/delete
Global Administrator,microsoft.directory/groupsAssignableToRoles/restore
Global Administrator,microsoft.directory/groupsAssignableToRoles/allProperties/update
Global Administrator,microsoft.directory/groupSettings/allProperties/allTasks
Global Administrator,microsoft.directory/groupSettingTemplates/allProperties/allTasks
Global Administrator,microsoft.directory/hybridAuthenticationPolicy/allProperties/allTasks
Global Administrator,microsoft.directory/identityProtection/allProperties/allTasks
Global Administrator,microsoft.directory/loginOrganizationBranding/allProperties/allTasks
Global Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks
Global Administrator,microsoft.directory/organization/allProperties/allTasks
Global Administrator,microsoft.directory/passwordHashSync/allProperties/allTasks
Global Administrator,microsoft.directory/policies/allProperties/allTasks
Global Administrator,microsoft.directory/conditionalAccessPolicies/allProperties/allTasks
Global Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read
Global Administrator,microsoft.directory/crossTenantAccessPolicy/allowedCloudEndpoints/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/basic/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/standard/read
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/b2bCollaboration/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/crossCloudMeetings/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/tenantRestrictions/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/create
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/delete
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/standard/read
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/b2bCollaboration/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/b2bDirectConnect/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/crossCloudMeetings/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/tenantRestrictions/update
Global Administrator,microsoft.directory/privilegedIdentityManagement/allProperties/read
Global Administrator,microsoft.directory/provisioningLogs/allProperties/read
Global Administrator,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update
Global Administrator,microsoft.directory/roleAssignments/allProperties/allTasks
Global Administrator,microsoft.directory/roleDefinitions/allProperties/allTasks
Global Administrator,microsoft.directory/scopedRoleMemberships/allProperties/allTasks
Global Administrator,microsoft.directory/serviceAction/activateService
Global Administrator,microsoft.directory/serviceAction/disableDirectoryFeature
Global Administrator,microsoft.directory/serviceAction/enableDirectoryFeature
Global Administrator,microsoft.directory/serviceAction/getAvailableExtentionProperties
Global Administrator,microsoft.directory/servicePrincipals/allProperties/allTasks
Global Administrator,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-company-admin
Global Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read
Global Administrator,microsoft.directory/signInReports/allProperties/read
Global Administrator,microsoft.directory/subscribedSkus/allProperties/allTasks
Global Administrator,microsoft.directory/users/allProperties/allTasks
Global Administrator,microsoft.directory/permissionGrantPolicies/create
Global Administrator,microsoft.directory/permissionGrantPolicies/delete
Global Administrator,microsoft.directory/permissionGrantPolicies/standard/read
Global Administrator,microsoft.directory/permissionGrantPolicies/basic/update
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/create
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/delete
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/standard/read
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/basic/update
Global Administrator,microsoft.directory/tenantManagement/tenants/create
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/create
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update
Global Administrator,microsoft.directory/verifiableCredentials/configuration/create
Global Administrator,microsoft.directory/verifiableCredentials/configuration/delete
Global Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/read
Global Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/update
Global Administrator,microsoft.directory/lifecycleWorkflows/workflows/allProperties/allTasks
Global Administrator,microsoft.azure.advancedThreatProtection/allEntities/allTasks
Global Administrator,microsoft.azure.informationProtection/allEntities/allTasks
Global Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Global Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Global Administrator,microsoft.cloudPC/allEntities/allProperties/allTasks
Global Administrator,microsoft.commerce.billing/allEntities/allProperties/allTasks
Global Administrator,microsoft.commerce.billing/purchases/standard/read
Global Administrator,microsoft.dynamics365/allEntities/allTasks
Global Administrator,microsoft.edge/allEntities/allProperties/allTasks
Global Administrator,microsoft.flow/allEntities/allTasks
Global Administrator,microsoft.hardware.support/shippingAddress/allProperties/allTasks
Global Administrator,microsoft.hardware.support/shippingStatus/allProperties/read
Global Administrator,microsoft.hardware.support/warrantyClaims/allProperties/allTasks
Global Administrator,microsoft.insights/allEntities/allProperties/allTasks
Global Administrator,microsoft.intune/allEntities/allTasks
Global Administrator,microsoft.office365.complianceManager/allEntities/allTasks
Global Administrator,microsoft.office365.desktopAnalytics/allEntities/allTasks
Global Administrator,microsoft.office365.exchange/allEntities/basic/allTasks
Global Administrator,microsoft.office365.knowledge/contentUnderstanding/allProperties/allTasks
Global Administrator,microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read
Global Administrator,microsoft.office365.knowledge/knowledgeNetwork/allProperties/allTasks
Global Administrator,microsoft.office365.knowledge/knowledgeNetwork/topicVisibility/allProperties/allTasks
Global Administrator,microsoft.office365.knowledge/learningSources/allProperties/allTasks
Global Administrator,microsoft.office365.lockbox/allEntities/allTasks
Global Administrator,microsoft.office365.messageCenter/messages/read
Global Administrator,microsoft.office365.messageCenter/securityMessages/read
Global Administrator,microsoft.office365.network/performance/allProperties/read
Global Administrator,microsoft.office365.organizationalMessages/allEntities/allProperties/allTasks
